,Link,Ingredients,Instructions,Image
Hakka Noodles,https://www.vegrecipesofindia.com/vegetable-hakka-noodles-recipe/,"['grams hakka noodles or  pack of Chings hakka noodles', 'to  cups water', 'teaspoons toasted sesame oil  for coating the noodles', 'tablespoons sunflower oil or any neutral tasting oil  for stir frying', 'to  dry red chilies   broken and deseeded or fresh green chilies chopped', 'teaspoons finely chopped garlic', 'to  spring onions scallions smallsized  finely chopped reserve a few greens for garnish', 'to  french beans  finely chopped', 'to  button mushrooms  finely chopped  check notes', 'carrot  small to medium  finely chopped or shredded', 'bell pepper capsicum  red green or yellow small to medium finely chopped or thinly sliced', 'cup finely chopped cabbage   optional', 'teaspoon finely chopped celery  optional', 'teaspoon rice vinegar or white vinegar or rice wine or mirin', 'teaspoons soy sauce naturally brewed or tamari  add as needed', 'salt as required', 'crushed black pepper as required', 'to   tablespoons chopped spring onions greens  or coriander leaves  for garnish']","['Heat enough water in a pan with salt and a few drops of oil till it comes to a boil', 'Add the hakka noodles and cook according to the package instructions', 'When noodles are cooking rinse and chop all the veggies or you can chop them before you start cooking noodles', 'Drain and rinse noodles in running water so that the noodles stop cooking', 'Then add toasted sesame oil and gently mix so that the oil gets evenly coated on them', 'Set the cooked noodles aside', 'Heat oil in a wok or kadai or a frying pan', 'On mediumlow to medium heat first add the dry red chilies and garlic', 'Saute for a minute then add the finely chopped spring onions and french beans', 'Increase the flame a bit and stir fry for  minutes For nonstick frying pans keep the heat to medium and for cast iron or carbon steel pans or wok use mediumhigh to high heat', 'Add the mushrooms carrots bell pepper capsicum and celery', 'Stir fry all the veggies on a high flame till they start getting slightly browned from the edges This will take about  to  mins after adding the carrots', 'Add soy sauce and mix well', 'Add noodles and toss it well and stir fry for a minute or two on high heat', 'Season with salt and pepper Also add rice vinegar or white vinegar Continue to toss and cook on a high flame for a minute', 'Toss the whole mixture well and add the chopped spring onion greens or garnish with spring onions while serving', 'Serve hakka noodles plain or accompanied with manchurian curry or gobi manchurian or chilli mushroom']",https://www.vegrecipesofindia.com/wp-content/uploads/2014/02/vegetable-hakka-noodles.jpg
pistachio ice cream  easy pista ice cream,https://www.vegrecipesofindia.com/pista-ice-cream-recipe/,"['cup chilled milk', 'cup sugar or  grams sugar', 'to  cups chilled cream   to   fat or whipping cream', 'cup pistachios or  grams unsalted']","['Take  cup of pistachios in a food chopper or grinder Grind the pista to a coarse powder Remove and keep aside', 'Now take another  cup of pistachios in the food chopper or grinder Just chop or grind them to small bits Remove and keep aside', 'In a pan take  cup chilled milk and  cup sugar', 'Mix very well till the sugar dissolves', 'Then add  to  cups chilled cream', 'With a wired whisk mix the cream with the milk', 'Add the coarsely ground pista powder', 'Add a few drops of natural green food color This is optional and you can skip it Mix', 'Now add this entire mixture in the ice cream maker Please follow the manufacturers instructions before operating the ice cream maker', 'Churn the mixture till the ice cream is frozen and set', 'Lastly add the chopped pistachios and fold in the ice cream', 'Now you can remove the pista ice cream and serve directly or remove it in a box or container to be served later', 'There will be a bit of ice cream stuck to the walls of the ice cream maker bowl and it is difficult to scrape it So wait for some  to  minutes Let the pista ice cream on the walls soften Then you can remove it', 'Serve pistachio ice cream just plain or as an after meal dessert']",https://www.vegrecipesofindia.com/wp-content/uploads/2017/03/pista-ice-cream.jpg
black forest cake eggless  whole wheat,https://www.vegrecipesofindia.com/eggless-black-forest-cake-recipe/,"['medium sized eggless chocolate cake or sponge chocolate cake or check the below recipe', 'cup whole wheat flour  levelled or  grams', 'tablespoons cocoa powder', 'teaspoon baking soda', 'pinch of salt', 'cup sugar or  grams sugar', 'cup cold water  ml', 'cup oil or melted butter  ml', 'tablespoon lime or lemon juice', 'teaspoon vanilla extract or vanilla powder or vanilla essence', 'ml chilled amul fresh cream or chilled heavy whipping cream', 'tablespoons icing sugar', 'tablespoons chopped red cherries', 'to  tablespoons grated chocolate or chocolate shavings you can also add as required', 'to  teaspoons cherry syrup or  teaspoon sugar dissolved in  to  teaspoon water you can use rum or wine instead of sugar syrup', 'to  whole cherries for decoration or as required', 'some chocolate shavings for decoration optional']","['First grease a round baking pan of  inches diameter x  inches height with oil Preheat your', 'Oven to  degrees celsius degrees fahrenheit', 'Seive  cup whole wheat flour  tbsp cocoa powder a pinch of salt  tsp baking soda in a plate Use good quality cocoa powder', 'In another pan or bowl take  cup sugar', 'Add  cup cold water and stir so that the sugar dissolves', 'Now add  cup oil or melted butter I added oil Stir briskly so that everything is mixed well', 'Next add  tbsp lime juice Stir again', 'Now add  tsp vanilla extract or powder', 'Add the sieved dry ingredients to the wet mixture Using a wired whisk mix everything well', 'There should be no lumps in the cake batter The batter is not thick but medium thin', 'Pour the cake batter in the prepared cake pan', 'Tap the sides of the cake pan so that the extra air bubbles are let out', 'Bake the cake in a preheated oven for  degrees celsius or  fahrenhiet for  to  mins Since temperatures vary from oven to oven do keep a check', 'For baking in a convection mode of microwave oven preheat the oven at  degrees celsius or  fahrenheit degrees for  minutes Then bake the cake at  degrees celsius or  degrees fahrenheit for the  to  minutes', 'For doneness check the cake with a tooth pick The tooth pick should come out clean Once the cake becomes warm or cools down unmold and place it on a wired rack', 'If the tooth pick is sticky then place the cake bake in the oven and continue to bake for some more minutes Before frosting let the cake cool completely', 'Keep the top of the cake facing you Slice the cake neatly and from the center with a large knife or serrated knife You can also use a dental floss to slice the cake into two With knife things can go uneven so slice carefully If crumbs fall collect them and then add them on top of the cream layer', 'Remove the top half and keep aside Keep the the bottom cake half facing you Just cover them and keep aside while you prepare the cream icing', 'In a stand mixer take cream and icing sugar You can use an electric beater and take the cream and icing sugar in a bowl I have used amul cream as that the only cream I get here Also it works very well for me But one has to use icing sugar otherwise amul cream does not whipped well due to its low fat content If you can get heavy whipping cream then nothing like it Remember to chill the cream in the refrigerator at least for a day or two before you use it', 'At the highest speed run the wire whip blade and whip till the cream become stiff I whipped amul cream for about  minutes in the highest speed of the stand mixer If you use heavy whipping cream you wont have to whip for so long Dont overdo the beating as the cream might turn into butter when you get stiff peaks just stop the mixer or beater To check just invert the bowl and if the cream does not fall the cream has got stiff peaks', 'Sprinkle some sugar syrup on the cake evenly To make sugar syrup dissolve  tsp sugar with  to  tsp water You can also use rum or wine instead of sugar syrup', 'Now with a spatula spread about or  of the whipped cream', 'Spread evenly Since this is a moist cake the crumbs will be seen while spreading the cream There is a method that can be used to to avoid the crumbs But since we are making at home this much is alright', 'Then add a layer of chopped red cherries Red cherries are easily available These are in the indian variety of candied karonda berries They are also called as karonda murabba in hindi I get them easily at mithai shops here', 'Sprinkle grated chocolate on top', 'Cover with the top halve of the cake', 'Spread some cream on the top evenly Spread on the sides If you have a cake decorating stand then its best to use For home purpose I use a small flat plate covered with aluminum foil and place the cake on it before icing', 'Add the remaining whipped cream in a piping bag and use any decorative nozzle Decorate the cake with the cream from the piping bag', 'Place whole cherries on the cakeyou can add the amount of cherries you want to make a neat looking cake', 'Sprinkle some grated chocolate all over You can also add chocolate shavings or chocolate vermicelli', 'Also place the grated chocolate on the side of the cake I also added some chocolate shavings from top', 'Cover the black forest cake with a large bowl without it touching the sides and place in the fridge for the cream icing to set Keep to set for  to  hours or overnight', 'When the cream icing has set well slice and serve the eggless black forest cake']",https://www.vegrecipesofindia.com/wp-content/uploads/2014/12/eggless-black-forest-cake-recipe.jpg
brown bread vegan,https://www.vegrecipesofindia.com/brown-bread-recipe-brown-bread/,"['cups all purpose flour', 'cup whole wheat flour', 'cup water', 'tablespoon dry active yeast or  teaspoon instant yeast', 'tablespoon organic cold pressed sunflower oil or melted butter', 'tablespoon regular sugar or unrefined organic cane sugar', 'teaspoon rock salt edible and food grade or regular salt']","['Warm the  cup of water', 'Add  tbsp sugar and dry active yeast', 'Stir and let the yeast activate', 'This usually takes about  minutes', 'Sieve both the flours with salt in a large wide bowl or a large plate with a rimparat', 'Add the proofed yeast and oil', 'Mix all the ingredients', 'Then begin to knead the dough', 'If the dough feels sticky then add some flour', 'If it feels dry then add some water', 'Continue to knead till you get a smooth dough which when stretched doesnt tear', 'Add the flour and salt in the bowl', 'On speed  mix the flour  salt for some seconds', 'Add the yeast mixture and oil and on speed  knead the dough', 'Continue kneading for  minutes and check the dough', 'If it feels dry add some warm water', 'If it feels sticky add some flour', 'Continue kneading for a further  minutes on speed  till you get a smooth and pliable dough', 'Rub oil or water all over the dough and keep in a covered bowl to leaven for  hours', 'After  hours remove the dough and punch and deflate it lightly', 'Roll a single log of the dough', 'Tuck the edges down on both sides of the bread loaf', 'Place the bread in a greased loaf pan x inches with the tucked edges facing downwards', 'Cover the loaf pan and let the dough leaven for  minutes or  hour', 'Preheat oven to  degrees c degrees f', 'Bake the loaf for  minutes or until the bread sounds hollow when tapped', 'Place the bread on a wire rack or tray', 'Serve warm or refrigerate the brown bread']",https://www.vegrecipesofindia.com/wp-content/uploads/2013/03/how-to-make-brown-bread-recipe.jpg
methi muthia fried and steamed,https://www.vegrecipesofindia.com/methi-muthia-steamed-methi-muthia-fried/,"['cups besan gram flour', 'tablespoon water or curd yogurt  add more if required', 'teaspoon baking soda', 'cups chopped methi leaves fenugreek leaves', 'teaspoon sugar or as required', 'teaspoon salt or as required', 'tablespoon oil', 'tablespoon rava sooji or cream of wheat or semolina', 'teaspoon white sesame seeds', 'teaspoon turmeric', 'teaspoon coriander powder', 'teaspoon cumin powder', 'teaspoon red chili powder or cayenne pepper', 'tablespoon lemon juice', 'tablespoon ginger green chili paste', 'water for steaming the muthia', 'oil for frying the muthia', 'tablespoon oil', 'teaspoon white sesame seeds', 'teaspoon mustard seeds', 'pinch asafoetida hing', 'sprig of curry leaves', 'few chopped coriander leaves', 'some freshly grated coconut']","['Mix all the ingredients except wateryogurt', 'Keep aside for  minutes', 'Add water and make a smooth dough', 'From half of the dough make sausage shaped long rolls and place them in a greased container', 'Steam these rolls for  minutes or till done', 'Once warm and cooled slice the steamed rolls', 'Temper the ingredients mentioned in the tempering list above', 'Add the sliced muthia and fry for  minutes', 'Serve hot or warm garnished with some chopped coriander leaves and grated coconut', 'Make small elongated cylindrical rolls from the remaining half of the dough', 'Heat oil', 'Shallow or deep fry till golden brown and crisp', 'Drain them on kitchen paper towels to remove excess oil', 'Serve methi muthia hot with some chutney or tomato sauce']",https://www.vegrecipesofindia.com/wp-content/uploads/2012/08/steamed-and-fried-methi-muthia.jpg
Eggless Chocolate Chip Muffins,https://www.vegrecipesofindia.com/eggless-chocolate-chip-muffins-recipe/,"['cup whole wheat flour  leveled or  grams', 'teaspoon baking soda  leveled', 'pinch salt', 'cup chocolate chips  dark or semisweet or vegan', 'cup warm water', 'cup raw sugar or white sugar   to  grams', 'tablespoon lemon juice or apple cider vinegar or white vinegar', 'teaspoon vanilla extract or  teaspoon vanilla essence', 'tablespoons olive oil or any neutral tasting oil']","['First line a muffin tray with muffin liners You can also grease the pan with oil instead of using muffin liners', 'Take the dry ingredients in a sieve  whole wheat flour baking soda and a pinch of salt Sift and keep aside', 'Preheat your oven to  degrees Celsius  degrees Fahrenheit for  minutes For an OTG heat both the top and bottom heating elements', 'Heat water till its warm You can heat water in a pan or microwave The temperature of the water should be about  to  degrees Celsius  degrees Fahrenheit', 'Add sugar to the warm water Stir so that all the sugar dissolves', 'Now add oil I used olive oil but you can use any neutral flavored oil You can also use melted butter Stir briskly for  to  minutes mixing the oil evenly with the water', 'Now add lemon juice You replace lemon juice with apple cider vinegar or white vinegar', 'Add vanilla extract or vanilla essence', 'Stir and mix very well again', 'Add the dry ingredients into the wet ingredients', 'Begin to mix to a smooth batter but dont overdo the mixing part', 'Add chocolate chips and fold it in the batter', 'Pour or spoon the batter in muffin liners until  of their capacity', 'Place one or two chocolate chips on top This is an optional step', 'Bake the muffinsat  degrees Celsius  degrees Fahrenheit for  to  minutes until the tops are browned and a tooth pick inserted in the muffins comes out clean', 'Since the temperatures in all the ovens are not the same do keep a check while baking In an OTG keep on the center rack', 'After  to  minutes remove the muffins from the pan and place on a wire rack for cooling', 'Serve these chocolate muffins plain as a sweet snack or as a dessert You can also serve with milk tea or coffee', 'Store your muffins at room temperature in an airtight container or tightly wrapped with plastic wrap Your muffins should stay fresh for up to a week if you live in a cold city or town', 'If you live in a warm humid and hot city or place store at room temperature for only a day or else refrigerate straightaway as soon the muffins cool at room temperature', 'You can freeze these choco chip muffins for a month Thaw at room temperature before serving']",https://www.vegrecipesofindia.com/wp-content/uploads/2015/07/eggless-chocolate-chip-muffins.jpg
Tomato Rasam Thakkali Rasam,https://www.vegrecipesofindia.com/tomato-rasam-recipe-tomato-rasam/,"['cup coriander stems  with or without leaves', 'to  garlic cloves  mediumsized', 'inch ginger  roughly chopped', 'teaspoons cumin seeds', 'teaspoon black peppercorns', 'to  cups chopped tomatoes   grams or  largesized tomatoes', 'tablespoon oil  gingelly oil sesame oil made from raw sesame seeds or sunflower oil or peanut oil', 'teaspoon mustard seeds  black', 'teaspoon urad dal  husked split or husked whole black gram', 'or  dry red chillies  broken and seeds removed', 'pinch asafoetida hing', 'to  curry leaves or  sprig of curry leaves', 'teaspoon turmeric powder ground turmeric', 'salt as needed', 'cups  water  or add as required', 'tablespoons chopped coriander leaves cilantro', 'teaspoon tamarind  dried', 'cup hot water', 'grams tomato or  to  medium tomatoes', 'teaspoon turmeric powder', 'teaspoon red chilli powder', 'cups water', 'salt as required', 'teaspoons Rasam Powder', 'to  tablespoons chopped coriander leaves cilantro', 'tablespoon oil can use sesame sunflower or peanut oil', 'teaspoon mustard seeds', 'teaspoon cumin seeds', 'pinch asafoetida hing', 'to  curry leaves or  sprig curry leaves', 'dry red chilies  crowns removed or halved and seeds removed']","['Take roughly chopped coriander stems with or without leaves about a handful of coriander stems in a blender or mixer jar Also add garlic cloves and roughly chopped ginger', 'Add cumin seeds and black pepper', 'Grind to a coarse paste Remove in a separate bowl or plate', 'In the same jar add the tomatoes rinsed and chopped', 'Grind or blend to a smooth puree If you want you can blanch tomatoes and then puree them  for a bright red color in the rasam', 'In a heavy pan or pot heat the oil Keep the flame to its lowest', 'Add the mustard seed and let them begin to crackle', 'When the mustard seeds start to crackle then add urad dal', 'Stirring often fry urad dal until they turn golden', 'Now add the dry red chilies halved and seeds removed and  pinch asafoetida In case the pan becomes hot then switch off the heat', 'Stir and fry for a few seconds till the red chilies change color', 'Add the coarsely ground coriander stemsgingergarlic mixture and curry leaves If the pan becomes too hot then you can switch off the heat', 'Saut for a minute on lowest flame taking care the mixture does not burn You will get a nice aroma while sauting this mixture', 'Add turmeric powder', 'Mix turmeric powder with the rest of the mixture', 'Now add the tomato pureemix very well Take care as the mixture splutters', 'Saut for a minuteSeason with salt as per taste', 'Then add  cups water If you like a little thin tomato rasam then you could add some more water But do not add too much water as the flavors get diluted', 'Mix well and simmer thakkali rasam on mediumlow heat until the rasam comes to a simmer', 'Overall simmer for  to  minutes', 'Finally switch off the heat and add  tablespoons chopped coriander leaves Check the taste of tomato rasam and add more salt if needed', 'Serve tomato rasam hot either like a curry over steamed white rice or enjoy as a bowl of hearty soup Both ways are great with a side of pappadums or a simple toasted bread', 'Refrigerate any leftovers for a day Reheat the rasam in a small pot or pan until warm or hot', 'If you plan to make ahead the rasam then do not add coriander leaves After you reheat rasam add the coriander leaves', 'Soak tamarind in hot water for  to  minutes', 'Then squeeze the tamarind and extract the pulp', 'When the tamarind is soaking chop the tomatoes', 'Add them along with their juices in a blender jar', 'Blend to smooth puree', 'Take the tomato puree in a pan or pot', 'Now add turmeric powder and red chilli powder', 'Then add water and mix very well', 'Keep the pan on the stove top Cover with a lid Then on a low to medium flame let the tomato mixture cook for  to  minutes', 'Then remove the lid and continue to simmer for  to  minutes or till the rawness of the tomatoes goes away', 'Next strain the tamarind pulp and directly add it to the rasam', 'Mix well', 'Next add salt as per taste Simmer for  to  minutes', 'Then add rasam powder Cook for a further  to  minutes', 'Switch off heat cover the pan and set aside', 'Heat oil in a small pan or tadka pan Lower the heat  add mustard seeds Let them crackle', 'Then add cumin seeds and let them splutter', 'Next add dry red chilies and curry leaves along with a pinch of asafoetida', 'Fry until the red chilies change color and curry leaves become crisp Add the entire tempering mixture into the tomato charu', 'Cover the pan with a lid for  minutes so that the tempering flavors infuse into the charu', 'Then add chopped coriander leaves', 'Serve tomato charu hot with rice or like a soup']",https://www.vegrecipesofindia.com/wp-content/uploads/2012/01/tomato-rasam.jpg
Kadhi Recipe  Kadhi Pakora,https://www.vegrecipesofindia.com/punjabi-kadhi-recipe-punjabi-kadhi-pakora/,"['cups sour curd full fat or sour yogurt  grams', 'cups water or add as required', 'teaspoon red chilli powder or cayenne pepper', 'teaspoon turmeric powder', 'teaspoon Garam Masala Powder', 'generous pinch  asafoetida hing', 'to  teaspoon salt or add as required', 'tablespoon gram flour besan  grams', 'cup thinly sliced onions tightly packed or  medium to large onions or  grams', 'cup besan gram flour', 'teaspoon red chilli powder', 'teaspoon turmeric powder', 'teaspoon Garam Masala Powder', 'teaspoon carom seeds ajwain', 'to  teaspoon salt or add as required', 'cup water or add as required', 'mustard oil or sunflower oil or any neutral oil  for shallow frying or deep frying', 'cup  chopped onions  or  small to medium onion', 'tablespoon chopped ginger', 'to  tablespoon chopped garlic', 'to  fenugreek seeds methi seeds', 'green chillies  chopped or  teaspoon serrano peppers', 'dry red chillies  broken and seeds removed', 'teaspoon cumin seeds', 'generous pinch  asafoetida hing', 'to  curry leaves or  sprig curry leaves', 'tablespoons mustard oil or sunflower oil or any neutral oil']","['In a bowl take the sour curd and whisk it well till smooth', 'Add gram flour red chilli powder turmeric powder garam masalapowder and salt to the whisked curd', 'Stir and mix everything again', 'Add  cups water and stir again', 'Stir very well to make a smooth mixture without lumps If there are lumps then break them with a wired whisk or a spatula or with your fingers Set the curd slurry aside', 'You can use a blender to make this mixture but make sure you dont over do it You will get butter instead of a smooth blended curd', 'Take the gram flour in a bowl and add carom seeds red chili powder garam masala powder and salt', 'Add  cup thinly sliced onions', 'Mix everything well and set aside covered for  minutes', 'This will allow the onions to release their water in the mixture Depending on the water content in the onions the mixture will become very moist or just about moist', 'Then accordingly add water as required to make a thick batter I added  cup water', 'Heat oil for deep frying in a pan or kadai With a spoon or with your hands drop the pakora batter in the oil', 'When the pakora are partly cooked then turn over and fry the other side', 'Fry till the pakora are crisp and golden', 'Remove the fried pakora and place them on a kitchen paper towel so that extra oil is absorbed Fry the pakora in batches this way When done set all of them aside', 'In another pan or kadai heat mustard oil Make sure to use a large bottomed pot so that while boiling the kadhi does not spill', 'Add the cumin seeds fenugreek seeds and asafoetida Allow the cumin seeds to crackle and the fenugreek seeds to change their color Fry on a low flame so that these spices do not get burnt', 'Add chopped onion Stir and saut for  minutes on a low flame', 'Then add chopped ginger chopped garlic and chopped green chillies Stir and saut for a minute', 'Now add curry leaves dry red chilies halved or broken Stir and saut for a minute on a low flame', 'Then add the curd slurry', 'Stir very well', 'Increase the flame to medium and bring the kadhi to a boil Keep on stirring often so that the bottom does not get browned Time taken to cook kadhi will be around  to  minutes', 'After the kadhi has come to a boil then lower the flame and simmer for more  to  minutes The kadhi will thicken', 'If the kadhi becomes too thick then add some hot water', 'Now add the onion pakora to the kadhi and stir gently', 'Cover with a lid and let the onion pakora be soaked in it for  to  minutes', 'Lastly sprinkle some garam masala powder', 'Serve kadhi pakora with steamed rice or cumin rice topped with few teaspoonfuls of ghee You could also have kadhi with roti or paratha']",https://www.vegrecipesofindia.com/wp-content/uploads/2012/01/punjabi-kadhi-pakora-recipe-easy.jpg
Modak recipe  Ukadiche modak With Mould  Without Mould,https://www.vegrecipesofindia.com/modak-recipe-ukadiche-modak-recipe/,"['cup    grams rice flour', 'cups water', 'teaspoon Ghee or oil', 'teaspoon salt', 'cup   grams fresh grated coconut', 'cup   grams powdered or grated jaggery', 'teaspoon  cardamom powder  or  to  green cardamoms powdered in a mortarpestle  husks removed', 'teaspoon  grated nutmeg  or ground nutmeg powder jaiphal powder  optional', 'teaspoon poppy seeds khus khus  optional', 'teaspoon Ghee or oil', 'tablespoon rice flour  optional']","['Heat ghee in a pan Keep flame to a low Add poppy seeds Fry for some seconds till the poppy seeds start crackling', 'Then add grated fresh coconut jaggery cardamom powder and grated nutmeg Mix well and cook this coconutjaggery mixture on a low flame The jaggery will melt first', 'Stirring often cook this mixture for  to  minutes till the moisture from the jaggery begins to dry Switch off the flame Dont overcook as the jaggery then hardens Keep this coconutjaggery filling aside On cooling the mixture will thicken more', 'You can also add a bit of rice flour to this mixture This is an optional step The rice flour helps to absorb moisture if any from the filling Keep the filling aside to cool', 'In a pan add water oil or ghee and salt Keep it on the stove top Let this mixture come to a boil', 'Reduce the flame and add the rice flour gradually Quickly stir and mix the flour with the water Stir till all the rice flour is mixed with the water', 'Switch off the flame Remove the pan from the stove top and then cover this pan with a lid for  to  minutes', 'Now take all the dough in a large plate or thali or in a bowl Gather the dough together and begin to knead it', 'The dough will be hot when you begin to knead So apply some water on your palms and knead the dough Knead the dough very well If you feel the dough looks dense or hard or dry then just add a few teaspoons of warm water and continue to knead', 'Make small balls from the dough Roll the balls till smooth in your palms You can also apply some water on your palms while rolling the balls Keep the balls covered with a kitchen towel The balls should be smooth in appearance and should not have any cracks', 'Take a ball and flatten it with your fingers to a round disc or a shallow bowl shape You can apply ghee or oil in your palms while flattening Place the sweet filling in the center', 'Flute and press the edges Bring together all the edges and join them Remove the extra portion of the dough from the top if any Shape and taper the top of the modak with your fingers', 'Grease the modak mould with a bit of ghee or oil Then close or lock the mould Put the doughball inside the mould and press it so that a space is made Place the sweet stuffing', 'Cover the bottom with a small piece of dough Press and smoothen it sealing themodak', 'Open or unlock the modak mould Remove the modak gently from the mould Shape all modaks this way with mould Keep the shaped modak covered with a napkin so that the rice dough does not dry outMake all the modak this way', 'Grease a steamer pan lightly with oil or ghee Place the shaped modak in the greased pan with some space between them Cover with a kitchen napkin', 'Take  to  cups water in a pot pressure cooker or an Instant Pot steel insert Place a trivet or a rack Heat the water on high flame until begins to boil For instant pot use the saut option and let the water begin to boil', 'The water should be hot or boiling when you place the modak in the large pan Cover the pan and steam modak for  to  minutes on a mediumlow flame On the Instant Pot use the steam function on high for steaming and keep the steam vent in venting position so that the steam releases while steaming Use a stop watch to set the time to  or  minutes', 'Once the ukadiche modakare steamed you can drizzle a few teaspoons of ghee on them Some modak may crack while shaping or steaming buts it is fine You can forgive yourself if you are making this first time', 'Offer the modak to Bhagwan Ganesha']",https://www.vegrecipesofindia.com/wp-content/uploads/2020/08/modak-recipe.jpg
Butter Cookies,https://www.vegrecipesofindia.com/eggless-butter-cookies-recipe/,"['cups whole wheat flour or  grams', 'to  green cardamoms  seeds kept and husks removed', 'grams chilled cold unsalted butter  about  to  tablespoon butter', 'teaspoon baking powder or  teaspoon baking soda', 'teaspoon nutmeg powder', 'to  tablespoon milk  add more milk if required', 'tablespoon Curd yogurt', 'cup organic unrefined cane sugar or regular sugar or  cup powdered sugar or  grams of powdered sugar']","['In a blender or grinder add  cup sugar and seeds of  to  green cardamoms', 'Grind to a fine powder Keep aside You can also use  cup powdered sugar instead of grinding the sugar', 'In a mixing bowl take  cups whole wheat flour  grams and tsp baking soda or tsp baking powder', 'With a spoon or spatula mix everything well', 'Add  grams chilled butter With your fingertips break the butter and mix with the flour You can cut the butter with two knives too This can also be achieved with a food processor or a stand mixer If the butter melts while mixing with your hands keep the mixture in the fridge for some minutes and then start again', 'Mix till you get a bread crumb like texture in the mixture', 'Add powdered sugar and  tsp nutmeg powder Mix well with a spoon or spatula', 'Add  tbsp yogurt Lightly mix and then add  to  tbsp milk', 'Mix and gather the entire mixture together to a dough Dont knead', 'Keep the cookie dough covered in a bowl in the fridge for  minutes', 'Before baking and cutting the cookies pre heat the oven at  degrees celsius degrees fahrenheit', 'Remove the dough and spread some flour on the work surface as well as on the dough', 'With a rolling pin roll the dough This rolling takes quite an effort Roll the dough to a thickness of  to  cms', 'With cookie cutters cut the dough Gather the remaining dough and again roll Cut with the cookie cutters and repeat the process', 'Then place the cookies in a baking tray with an inch gap between them', 'Bake the cookies in a preheated oven at  degrees celsius degrees fahrenheit for  to  minutes or more till the cookies are light golden or golden', 'Once baked remove when still hot and place them on a wired tray or rack So that the cookies cool down', 'Once they cool down at room temperature place themimmediately in an airtight jar or box', 'Serve butter cookies plain or with milk or tea']",https://www.vegrecipesofindia.com/wp-content/uploads/2014/12/eggless-butter-cookies.jpg
Lassi Recipe  Ways,https://www.vegrecipesofindia.com/sweet-lassi-punjabi-lassi/,"['cups Curd  cold and fresh yogurt', 'cup water or milk  cold or at room temperature', 'to  tablespoons sugar or add as per taste', 'teaspoon cardamom powder or  to  green cardamoms or  tablespoon rose water', 'to  saffron strands  optional', 'to  ice cubes  optional', 'to  tablespoons chopped nuts  cashews almonds pistachios optional', 'cups Curd  cold and fresh yogurt', 'cup water  cold or at room temperature', 'teaspoon black salt or regular salt or edible rock salt as required', 'teaspoons roasted cumin powder', 'to  mint leaves', 'cups Curd  cold and fresh yogurt', 'to  green cardamoms  seeds crushed in mortar and husks removed', 'teaspoon crushed black pepper', 'to  pinches grated nutmeg or ground nutmeg', 'tablespoons chopped almonds or cashews or pistachios', 'to  saffron strands  optional', 'to  tablespoons chopped palm sugar palm jaggery or jaggery or sugar', 'to   cup water  cold or at room temperature add as required']","['In a mortar take the green cardamom pods and crush them lightly Remove the husks and crush the seeds to a fine powder', 'In a bowl or pan take fresh chilled curd yogurt', 'With the handheld wooden churner madanior blender or wired whisk simply whisk the curd until it becomes smooth', 'Add sugar and cold water You can also add cold milk instead of water', 'The consistency of this lassi is neither thick nor thin For a thin lassi add slightly more water and for a thicker version add less water', 'Now churn or beat again with the churner blender or wired whisk', 'Keep on churning or whisking until the sugar dissolves and you see a nice frothy layer on top You can use an immersion blender for the same Another way is to add all the ingredients in a blender jar and blend until smooth and frothy', 'Now add the crushed cardamom powder and saffron strands Mix well Do check the taste and add more sugar if required', 'As a substitute for cardamom powder add rose water You can skip all the flavoring ingredients if you dont have any', 'Pour lassi in tall glasses and serve Add a few ice cubes if you prefer If you want you can top lassi in each glass with  to  tablespoons of malai the thick layer of cream which collects on top of heated milk or  to  tablespoons of unsalted white butter makhan', 'Garnish with a pinch or two of cardamom powder  to  crushed saffron strands or chopped nuts like cashews pistachios or almonds Serve sweet punjabi lassi straightaway', 'Take the curd and water in a bowl or pan Season with salt and roasted cumin powder', 'To make your own roasted ground cumin dry roast cumin seeds in a small skillet or frying pan until fragrant Then crush in a mortarpestle or grind finely in a spicegrinder', 'With a wired whisk blend everything well till smoothA blender or an immersion blender also works', 'Pour the salted lassi in glasses Garnish with mint leaves You can add a few ice cubes if you like If you wish to avoid the ice cubes then make lassi with chilled yogurt and cold water', 'In a blender take the curd crushed seeds of the green cardamons crushed black pepper grated nutmeg chopped almonds or cashews or pistachios or a mix of all three nuts', 'Add the saffron strands and chopped palm jaggery palm sugar or jaggery or sugar Add water', 'Blend until smooth and frothy Check the taste and add more palm sugar if needed and blend again Serve straightaway topped with a few saffron strands or chopped nuts', 'Serve lassi as a refreshing drink during the daytime or serve it as drink it after any Indian meal', 'While serving sweet lassi garnish with some chopped nuts like pistachios or almonds', 'Salted lassi can be topped with fresh mint or coriander leaves and a light sprinkling of roasted cumin powder red chilli powder cayenne pepper or chaat masala', 'Store your leftoverlassi it in the refrigerator for  to  days No need to add ice cubes if you plan to store']",https://www.vegrecipesofindia.com/wp-content/uploads/2021/04/lassi-recipe-1.jpg
